Target_name,RA_1,Dec_1,source_id,ra_2,ra_error,dec_2,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_template_logg,rv_template_fe_h,phot_variable_flag,teff_val,a_g_val,GroupID,GroupSize,Separation
HV11182,14.391667,-72.070556,4689067658270101760,14.391276350700993,0.01853717047259288,-72.07023378928751,0.011597095355771641,0.028005756923222828,0.016356390050841628,0.8250223024804205,-1.2596497412583314,13.529763,1.2637997,,,,,VARIABLE,4835.4165,,,,1.238119408823017
HV11211,35.20625,-73.085556,4644478166748030976,35.20622149696625,0.016637520238883437,-73.08564909240883,0.0127364501730426,-0.05196149558683905,0.014601887594605754,1.5421361823530226,-1.0179092513179495,13.757372,1.1010075,,,,,VARIABLE,5054.82,,,,0.3364597486516129
HV12108,13.474583,-72.452222,4689005432797657856,13.47448045795676,0.018369083040477324,-72.45232567007339,0.015922140388063288,0.003262797174590673,0.02015881844573851,0.697867311579365,-1.2354625839486268,14.304858,0.9887667,,,,,VARIABLE,5320.0,,,,0.3894546202662012
HV12951,17.06375,-72.503333,4687456701910913792,17.06321478625556,0.020091570654419317,-72.50320359378222,0.014629056672890111,-0.03528414786171183,0.021732671768793253,0.8924217995911512,-1.1213456892098943,13.811596,1.1653795,,,,,VARIABLE,4890.895,,,,0.7433706715859857
HV00821,9.81875,-72.033056,4689217466690224384,9.819046493324164,0.017037093430319988,-72.03286739415245,0.015817646494606933,0.0033730473268657815,0.020294882272084154,0.5603684162670972,-1.2720022088136873,13.937256,0.9630823,,,,,VARIABLE,5405.56,1.1105,1,6,0.7546012047018504
HV00827,11.722083,-72.714167,4688974886982934016,11.721306178797622,0.025940061585643104,-72.71437676091303,0.020385435467181717,0.05290145566239128,0.027780787667289534,0.6924153718028402,-1.247564102594171,12.219525,1.117712,139.2030963477816,3.568839958932875,3.5,0.0,NOT_AVAILABLE,5019.21,,2,2,1.1228226285279441
HV00843,14.629583,-72.450556,4688997152099135232,14.628823050586993,0.019176878865998497,-72.45077295567306,0.01802273898844113,-0.013960664063730425,0.020059832519953254,0.7009186856130181,-1.2724572030566113,14.77887,1.1526785,,,,,VARIABLE,4945.64,,,,1.1360112638702746
HV00856,16.962917,-71.521667,4690559450696040320,16.962979031024517,0.021569225526759505,-71.5213269105231,0.018186487531148775,-0.03667389450888981,0.02185013185829269,0.9235468044658672,-1.1382539074256934,14.861376,0.9887123,,,,,VARIABLE,5123.56,,,,1.2263662684957441
HV01326,8.3475,-73.385278,4688881565910327424,8.346005817159439,0.023467454461538785,-73.38483030387627,0.019148553562724078,0.008742181488142492,0.023900145304964027,0.41559797768871676,-1.139795072344291,14.792857,1.0550213,,,,,VARIABLE,5476.4634,,,,2.2278427521185487
HV01335,9.230833,-73.941667,4685791697713071616,9.232058290586847,0.02620459432329556,-73.9411312261423,0.01690644785412367,-0.07714058782803698,0.022945741277271968,0.44167594473237454,-1.0786409835283546,14.559816,0.85708046,,,,,VARIABLE,5612.1,,,,2.2823380408267564
